"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"18359",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11500,129,NA,"B3","97-11 LINDEN BOULEVARD                   ","            ",11417,"2","0","2"," 3,080 "," 1,434 ",1925,1,"B3"," 500,000 ","12/9/2016",5e+05,1434,3080,0,FALSE
"18360",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11501,153,NA,"B2","134-15 HAWTREE STREET                    ","            ",11417,"2","0","2"," 1,700 "," 2,176 ",1920,1,"B2"," 469,775 ","2/7/2017",469775,2176,1700,0,FALSE
"18361",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11501,201,NA,"B2","133-19 HAWTREE STREET                    ","            ",11417,"2","0","2"," 3,472 "," 2,300 ",1965,1,"B2"," 490,000 ","6/2/2016",490000,2300,3472,0,FALSE
"18363",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11505,47,NA,"B3","132-14 106 STREET                        ","            ",11417,"2","0","2"," 3,000 "," 2,075 ",1940,1,"B3"," 750,000 ","6/17/2016",750000,2075,3000,0,FALSE
"18365",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11517,153,NA,"B3","97-28 LINDEN BOULEVARD                   ","            ",11417,"2","0","2"," 2,800 "," 1,178 ",1925,1,"B3"," 405,000 ","8/16/2016",405000,1178,2800,0,FALSE
"18366",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11518,182,NA,"B3","9718 135 ROAD                            ","            ",11417,"2","0","2"," 2,800 "," 1,176 ",1925,1,"B3"," 435,000 ","3/31/2017",435000,1176,2800,0,FALSE
"18368",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11530,10,NA,"B3","94-20 PITKIN AVENUE                      ","            ",11417,"2","0","2"," 1,907 "," 1,456 ",1915,1,"B3"," 580,000 ","11/23/2016",580000,1456,1907,0,FALSE
"18369",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11532,10,NA,"B3","96-20 PITKIN AVENUE                      ","            ",11417,"2","0","2"," 2,375 "," 1,327 ",1925,1,"B3"," 805,924 ","2/16/2017",805924,1327,2375,0,FALSE
"18370",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11532,10,NA,"B3","96-20 PITKIN AVENUE                      ","            ",11417,"2","0","2"," 2,375 "," 1,327 ",1925,1,"B3"," 805,924 ","12/2/2016",805924,1327,2375,0,FALSE
"18371",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11532,19,NA,"B3","137-32 96TH   PLACE                      ","            ",11417,"2","0","2"," 2,500 "," 1,592 ",1925,1,"B3"," 525,000 ","7/28/2016",525000,1592,2500,0,FALSE
"18372",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11533,20,NA,"B3","137-28 97TH   STREET                     ","            ",11417,"2","0","2"," 2,500 "," 1,360 ",1925,1,"B3"," 535,000 ","5/10/2016",535000,1360,2500,0,FALSE
"18373",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11533,31,NA,"B3","96-29 149 AVENUE                         ","            ",11417,"2","0","2"," 2,500 "," 1,360 ",1925,1,"B3"," 550,000 ","12/8/2016",550000,1360,2500,0,FALSE
"18374",4,"OZONE PARK               ","02  TWO FAMILY DWELLINGS                    ","1",11553,28,NA,"B3","149-46 TAHOE STREET                      ","            ",11417,"2","0","2"," 4,000 "," 1,369 ",1940,1,"B3"," 645,000 ","6/10/2016",645000,1369,4000,0,FALSE
"18376",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9014,39,NA,"C0","94-15 83RD   STREET                      ","            ",11416,"3","0","3"," 2,000 "," 3,335 ",1970,1,"C0"," 720,000 ","9/21/2016",720000,3335,2000,0,FALSE
"18379",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9054,97,NA,"C0","83-05 101ST   AVENUE                     ","            ",11416,"3","0","3"," 2,000 "," 2,408 ",1910,1,"C0"," 854,500 ","2/24/2017",854500,2408,2000,0,FALSE
"18380",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9082,39,NA,"C0","81-66 102ND AVENUE                       ","            ",11416,"3","0","3"," 2,000 "," 3,072 ",2002,1,"C0"," 625,000 ","2/22/2017",625000,3072,2000,0,FALSE
"18382",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9082,45,NA,"C0","81-63 102ND ROAD                         ","            ",11416,"3","0","3"," 2,100 "," 3,265 ",1987,1,"C0"," 760,000 ","10/5/2016",760000,3265,2100,0,FALSE
"18383",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9085,9,NA,"C0","84-24 102ND   AVENUE                     ","            ",11416,"3","0","3"," 5,349 "," 2,416 ",1920,1,"C0"," 609,500 ","9/15/2016",609500,2416,5349,0,FALSE
"18386",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9088,1,NA,"C0","86-02 102ND AVENUE                       ","            ",11416,"3","0","3"," 2,523 "," 2,350 ",1920,1,"C0"," 675,000 ","7/19/2016",675000,2350,2523,0,FALSE
"18388",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9120,57,NA,"C0","103-29 97TH   STREET                     ","            ",11417,"3","0","3"," 2,175 "," 3,100 ",2004,1,"C0"," 990,000 ","4/14/2017",990000,3100,2175,0,FALSE
"18390",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9168,19,NA,"C0","106-20 98TH STREET                       ","            ",11417,"3","0","3"," 3,000 "," 3,232 ",1987,1,"C0"," 550,000 ","8/1/2016",550000,3232,3000,0,FALSE
"18391",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9168,20,NA,"C0","106-22 98TH STREET                       ","            ",11417,"3","0","3"," 3,000 "," 3,232 ",1987,1,"C0"," 600,000 ","8/2/2016",6e+05,3232,3000,0,FALSE
"18392",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9175,67,NA,"C0","109-42 98TH   STREET                     ","            ",11417,"3","0","3"," 1,900 "," 3,058 ",2012,1,"C0"," 945,000 ","6/27/2016",945000,3058,1900,0,FALSE
"18393",4,"OZONE PARK               ","03  THREE FAMILY DWELLINGS                  ","1",9539,77,NA,"C0","107-77 100TH STREET                      ","            ",11417,"3","0","3"," 2,167 "," 2,772 ",1960,1,"C0"," 665,000 ","7/8/2016",665000,2772,2167,0,FALSE
